price,milage,model,make,transmission,fuel,Num_Cyl,year,body_style
11995,61515,Accord,Honda,Automatic,Gasoline,4,2012,Sedan
15995,24206,Corolla,Toyota,Automatic,Gasoline,4,2016,Sedan
25344,32646,Pilot,Honda,Automatic,Gasoline,6,2015,SUV
10995,84076,Prius,Toyota,Automatic,Hybrid,4,2012,Hatchback
9900,57153,Sentra,Nissan,Automatic,Gasoline,4,2013,Sedan
19100,26268,Pathfinder,Nissan,Automatic,Gasoline,6,2015,SUV
9700,68483,Rogue,Nissan,Automatic,Gasoline,4,2013,SUV
14041,19389,Civic,Honda,Automatic,Gasoline,4,2015,Sedan
15995,38010,Accord,Honda,Automatic,Gasoline,4,2016,Sedan
17765,13399,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
17799,91597,Highlander,Toyota,Automatic,Gasoline,6,2011,SUV
6775,119252,Fit,Honda,Automatic,Gasoline,4,2009,Hatchback
28900,32426,Tacoma,Toyota,Manual,Gasoline,6,2014,Pickup
12380,44051,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
18000,14060,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
27142,8988,RAV4,Toyota,Automatic,Hybrid,4,2017,SUV
9600,69992,Altima,Nissan,Automatic,Gasoline,4,2014,Sedan
14800,16027,Corolla,Toyota,Manual,Gasoline,4,2016,Sedan
9199,108089,Prius,Toyota,Automatic,Hybrid,4,2012,Hatchback
23500,5017,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
27000,49733,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
17200,33712,Rogue,Nissan,Automatic,Gasoline,4,2015,SUV
16389,39457,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
18790,33679,Maxima,Nissan,Automatic,Gasoline,6,2014,Sedan
8057,108319,Camry,Toyota,Unspecified,Gasoline,4,2009,Sedan
19997,17882,Accord,Honda,Automatic,Gasoline,4,2016,Sedan
18969,39004,Rogue,Nissan,Automatic,Gasoline,4,2014,SUV
23500,8409,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
21000,35976,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
16577,33804,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
17331,22363,Prius,Toyota,Automatic,Hybrid,4,2015,Hatchback
16475,25931,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
35797,24001,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
25171,56460,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
17797,19654,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
24365,22048,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
13995,22589,Sentra,Nissan,Automatic,Gasoline,4,2014,Sedan
22844,7262,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
18000,29099,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
34800,40825,4Runner,Toyota,Automatic,Gasoline,6,2016,SUV
16397,24823,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
14260,38896,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
23200,30142,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
29675,32652,4Runner,Toyota,Automatic,Gasoline,6,2014,SUV
23500,6420,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
18403,38230,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
18500,38605,Rogue,Nissan,Automatic,Gasoline,4,2015,SUV
20980,16105,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
7900,175000,Sequoia,Toyota,Automatic,Gasoline,8,2006,SUV
16034,25450,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
16079,32220,Civic,Honda,Automatic,Gasoline,4,2015,Sedan
21349,39783,Pathfinder,Nissan,Automatic,Gasoline,6,2016,SUV
13426,24402,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
34700,26508,Tundra,Toyota,Automatic,Flexible-Fuel,8,2016,Pickup
14491,145223,Tundra,Toyota,Automatic,Gasoline,8,2008,Pickup
17590,30892,Juke,Nissan,Automatic,Gasoline,4,2015,SUV
28988,29187,Tacoma,Toyota,Automatic,Gasoline,6,2016,Pickup
13251,70013,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
8995,135572,Pilot,Honda,Automatic,Gasoline,6,2008,SUV
9900,42563,Sentra,Nissan,Automatic,Gasoline,4,2014,Sedan
14224,49433,Altima,Nissan,Automatic,Gasoline,4,2016,Sedan
29700,18440,Tundra,Toyota,Automatic,Gasoline,8,2011,Pickup
26397,44815,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
22685,43741,Avalon,Toyota,Automatic,Gasoline,6,2015,Sedan
7200,130000,Accord,Honda,Automatic,Gasoline,4,2010,Sedan
15690,42956,Juke,Nissan,Automatic,Gasoline,4,2014,SUV
17025,67319,Accord,Honda,Automatic,Gasoline,6,2014,Sedan
15500,96386,Pathfinder,Nissan,Automatic,Gasoline,6,2014,SUV
7860,60744,Versa,Nissan,Automatic,Gasoline,4,2012,Hatchback
6110,157636,Accord,Honda,Automatic,Gasoline,4,2009,Sedan
17401,66516,RAV4,Toyota,Automatic,Gasoline,6,2012,SUV
21397,43715,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
16450,22851,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
12500,44529,Corolla,Toyota,Automatic,Gasoline,4,2016,Sedan
26710,41545,Tacoma,Toyota,Automatic,Gasoline,6,2014,Pickup
14500,44689,Civic,Honda,Automatic,Gasoline,4,2015,Sedan
15688,68429,Avalon,Toyota,Automatic,Gasoline,6,2014,Sedan
34435,21065,Highlander,Toyota,Automatic,Gasoline,6,2016,SUV
26767,30689,Sienna,Toyota,Automatic,Gasoline,6,2015,Minivan
34502,10485,Tacoma,Toyota,Automatic,Gasoline,6,2017,Pickup
6500,66975,Fit,Honda,Automatic,Gasoline,4,2009,Hatchback
21750,53186,Sienna,Toyota,Automatic,Gasoline,6,2016,Minivan
12887,90151,Tacoma,Toyota,Manual,Gasoline,6,2004,Pickup
22995,30790,Frontier,Nissan,Automatic,Gasoline,6,2014,Pickup
5999,163947,Accord,Honda,Automatic,Gasoline,6,2008,Coupe
14800,158990,FJCruiser,Toyota,Automatic,Gasoline,6,2008,SUV
28791,45296,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
29950,34109,Tacoma,Toyota,Automatic,Gasoline,6,2016,Pickup
16650,17896,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
12821,40170,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
15460,42950,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
9000,154672,Tacoma,Toyota,Manual,Gasoline,4,2007,Pickup
20900,103829,4Runner,Toyota,Automatic,Gasoline,6,2011,SUV
18700,63467,CR-V,Honda,Automatic,Gasoline,4,2014,SUV
5267,147945,Civic,Honda,Manual,Gasoline,4,2009,Sedan
24301,14092,Avalon,Toyota,Automatic,Hybrid,4,2015,Sedan
15177,15779,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
11250,98618,Priusv,Toyota,Automatic,Hybrid,4,2013,Wagon
13899,37268,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
24984,62319,Murano,Nissan,Automatic,Gasoline,6,2015,SUV
4600,199290,Sequoia,Toyota,Automatic,Gasoline,8,2004,SUV
13850,28077,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
20990,91845,4Runner,Toyota,Automatic,Gasoline,6,2012,SUV
13500,115366,AccordCrosstour,Honda,Automatic,Gasoline,6,2013,SUV
21980,23487,Camry,Toyota,Automatic,Hybrid,4,2015,Sedan
25599,45427,Tacoma,Toyota,Automatic,Gasoline,6,2012,Pickup
27970,4888,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
22800,101037,4Runner,Toyota,Automatic,Gasoline,6,2011,SUV
20990,42533,Avalon,Toyota,Automatic,Gasoline,6,2015,Sedan
16994,48837,Rogue,Nissan,Automatic,Gasoline,4,2016,SUV
23500,7503,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
16567,24050,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
6900,121000,Juke,Nissan,Automatic,Gasoline,4,2011,SUV
18600,52277,Rogue,Nissan,Automatic,Gasoline,4,2015,SUV
18750,22890,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
31326,38550,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
5599,104069,VersaNote,Nissan,Automatic,Gasoline,4,2014,Hatchback
17058,19664,Civic,Honda,Automatic,Gasoline,4,2016,Sedan
11990,89782,Maxima,Nissan,Automatic,Gasoline,6,2012,Sedan
4832,147848,Versa,Nissan,Automatic,Gasoline,4,2009,Hatchback
33532,27253,4Runner,Toyota,Automatic,Gasoline,6,2015,SUV
17725,61237,RAV4,Toyota,Automatic,Gasoline,4,2013,SUV
28000,9036,Accord,Honda,Automatic,Gasoline,6,2017,Sedan
